,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
20,20,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1632222.5246,87352.41790443628,50.0
21,21,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1632222.5246,87352.41790443628,50.0
22,22,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1632222.5246,87352.41790443628,50.0
23,23,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1632222.5246,87352.41790443628,50.0
24,24,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
25,25,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
26,26,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
27,27,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
28,28,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
29,29,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
30,30,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
31,31,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,1,0.9,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1925960.667,1736560.9048,81714.5532,3879536.7247,-1492368.6767,113428.2506627961,50.0
32,32,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
33,33,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
34,34,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
35,35,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
36,36,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
37,37,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
38,38,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
39,39,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1414454.0805,87352.41790443628,50.0
40,40,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,0.8,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,1711965.0373,1543609.6932,72635.1584,3448477.0887,-1277524.7761,113428.2506627961,50.0
