,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
12,12,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,1,0,-1709042.6039,0,-1840199.9703,-1840199.9703,0.0,4310596.3608,0,3191068.3959,0.0,100.45528059010171,100.45528059010171,0.0,113.4282506627961,113.4282506627961,2049.0,2044.0,24.82,23.4883,34.2262,38.6462,605413.1736,2168895.5088,0,1070723.3139,5457.2354,567865.245,2168895.5088,0,905349.7158,8788.9322
13,13,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,1,0,-1709042.6039,0,-1709042.6039,-1709042.6039,0.0,4310596.3608,0,3191068.3959,0.0,113.4282506627961,113.4282506627961,0.0,113.4282506627961,113.4282506627961,2049.0,2049.0,24.82,24.82,34.2262,34.2262,605413.1736,2168895.5088,0,1070723.3139,5457.2354,605413.1736,2168895.5088,0,1070723.3139,5457.2354
14,14,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,1,0,-1709042.6039,0,-1580926.9958,-1580926.9958,0.0,4310596.3608,0,3191068.3959,0.0,116.38798834591618,116.38798834591618,0.0,113.4282506627961,113.4282506627961,2049.0,2053.0,24.82,25.1941,34.2262,33.3558,605413.1736,2168895.5088,0,1070723.3139,5457.2354,611739.9385,2168895.5088,3613.6612,1207049.478,3727.3652
15,15,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,1,1,0,-1709042.6039,0,-1457563.8006,-1457563.8006,0.0,4310596.3608,0,3191068.3959,0.0,116.46891313473999,116.46891313473999,0.0,113.4282506627961,113.4282506627961,2049.0,2054.0,24.82,25.2066,34.2262,33.3327,605413.1736,2168895.5088,0,1070723.3139,5457.2354,611881.5498,2168895.5088,10821.7124,1337423.4843,3388.5138
16,16,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,1,0.9,0,-1632222.5246,0,0,0,0.0,3879536.7247,0,3191068.3959,0.0,0.0,0.0,0.0,87.35241790443628,87.35241790443628,2044.0,2020.0,23.4883,0,34.7816,0,567865.245,1952005.9579,0,895558.7173,7910.039,0,0,0,0,0
17,17,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,1,0.9,0,-1632222.5246,0,-1912602.6906,-1912602.6906,0.0,3879536.7247,0,3191068.3959,0.0,16.662244989480353,16.662244989480353,0.0,87.35241790443628,87.35241790443628,2044.0,2030.0,23.4883,15.1416,34.7816,174.7189,567865.245,1952005.9579,0,895558.7173,7910.039,131208.0902,1898933.9465,0,147577.706,30038.3599
18,18,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,1,0.9,0,-1632222.5246,0,-1908566.1876,-1908566.1876,0.0,3879536.7247,0,3191068.3959,0.0,35.27178613626625,35.27178613626625,0.0,87.35241790443628,87.35241790443628,2044.0,2033.0,23.4883,17.1985,34.7816,86.1385,567865.245,1952005.9579,0,895558.7173,7910.039,265105.351,1952005.9579,0,331113.3857,22568.2644
19,19,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,1,0.9,0,-1632222.5246,0,-1828077.3175,-1828077.3175,0.0,3879536.7247,0,3191068.3959,0.0,54.349659704293394,54.349659704293394,0.0,87.35241790443628,87.35241790443628,2044.0,2036.0,23.4883,19.2269,34.7816,55.9021,567865.245,1952005.9579,0,895558.7173,7910.039,390522.0251,1952005.9579,0,531406.5366,16955.8711
20,20,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,0.9,0,-1632222.5246,0,-1738175.9478,-1738175.9478,0.0,3879536.7247,0,3191068.3959,0.0,64.2413125658552,64.2413125658552,0.0,87.35241790443628,87.35241790443628,2044.0,2038.0,23.4883,20.5984,34.7816,47.2945,567865.245,1952005.9579,0,895558.7173,7910.039,453207.1708,1952005.9579,0,681050.2976,14013.1166
21,21,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,0.9,0,-1632222.5246,0,-1632222.5246,-1632222.5246,0.0,3879536.7247,0,3191068.3959,0.0,87.35241790443628,87.35241790443628,0.0,87.35241790443628,87.35241790443628,2044.0,2044.0,23.4883,23.4883,34.7816,34.7816,567865.245,1952005.9579,0,895558.7173,7910.039,567865.245,1952005.9579,0,895558.7173,7910.039
22,22,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,0.9,0,-1632222.5246,0,-1519007.3419,-1519007.3419,0.0,3879536.7247,0,3191068.3959,0.0,98.63326144590968,98.63326144590968,0.0,87.35241790443628,87.35241790443628,2044.0,2049.0,23.4883,24.82,34.7816,30.8036,567865.245,1952005.9579,0,895558.7173,7910.039,605413.1736,1952005.9579,332.0963,1043655.3977,4911.5119
23,23,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,0.9,0,-1632222.5246,0,-1409085.4931,-1409085.4931,0.0,3879536.7247,0,3191068.3959,0.0,100.93680076874809,100.93680076874809,0.0,87.35241790443628,87.35241790443628,2044.0,2052.0,23.4883,25.1494,34.7816,30.1006,567865.245,1952005.9579,0,895558.7173,7910.039,611159.1694,1952005.9579,4502.9148,1162272.6406,3690.0916
24,24,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,0.9,0,-1492368.6767,0,-1827440.184,-1827440.184,0.0,3879536.7247,0,3191068.3959,0.0,12.85159808732316,12.85159808732316,0.0,113.4282506627961,113.4282506627961,2049.0,2029.0,24.82,14.7257,30.8036,240.3702,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,90896.526,1795546.7213,0,92045.2592,33042.1959
25,25,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,0.9,0,-1492368.6767,0,-1931545.1128,-1931545.1128,0.0,3879536.7247,0,3191068.3959,0.0,33.11859852036994,33.11859852036994,0.0,113.4282506627961,113.4282506627961,2049.0,2032.0,24.82,16.4615,30.8036,105.4995,605413.1736,1952005.9579,761.3472,1070723.3139,4911.5119,219344.4859,1952005.9579,0,264630.4218,24825.0908
